Index,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
154,Nioro,GM,2020-12-15 18:06:03,13.35,-15.75,91.27,14,0,1.61
155,Borba,BR,2020-12-15 18:06:03,-4.39,-59.59,80.65,88,100,3.27
156,Walvis Bay,NA,2020-12-15 18:01:43,-22.96,14.51,64.0,84,6,16.26
157,Zapolyarnyy,RU,2020-12-15 18:06:03,69.42,30.81,28.4,86,75,25.28
158,Souillac,MU,2020-12-15 18:06:03,-20.52,57.52,77.0,94,75,14.99
159,Qui Nhon,VN,2020-12-15 18:06:04,13.77,109.23,75.45,89,90,17.11
160,Arraial do Cabo,BR,2020-12-15 18:01:13,-22.97,-42.03,86.0,62,0,12.75
161,Noumea,NC,2020-12-15 18:02:35,-22.28,166.46,71.6,78,75,4.7
162,Khovd,MN,2020-12-15 18:06:04,48.01,91.64,-1.98,86,1,0.92
163,Chumikan,RU,2020-12-15 18:06:04,54.72,135.31,-11.04,78,99,27.4
164,Coquimbo,CL,2020-12-15 18:05:14,-29.95,-71.34,60.8,77,75,11.41
165,Harbour Breton,CA,2020-12-15 18:06:04,47.48,-55.8,34.16,91,100,35.99
166,Pingliang,CN,2020-12-15 18:06:04,35.54,106.69,24.03,79,97,1.03
167,Pangnirtung,CA,2020-12-15 18:06:04,66.15,-65.71,8.6,71,90,5.82
168,Pisco,PE,2020-12-15 18:06:05,-13.7,-76.22,71.6,78,90,6.93
169,Villa María,AR,2020-12-15 18:03:50,-32.41,-63.24,90.07,14,0,12.06
170,Usinsk,RU,2020-12-15 18:06:05,65.99,57.53,11.91,96,95,12.71
171,Bengkulu,ID,2020-12-15 18:06:05,-3.8,102.27,77.09,86,100,6.78
172,Punta,PH,2020-12-15 18:06:05,8.99,125.34,74.61,85,98,4.12
173,Ekhabi,RU,2020-12-15 18:06:05,53.51,142.97,15.08,94,100,26.28
174,Vardø,NO,2020-12-15 18:06:06,70.37,31.11,32.0,96,75,14.99
175,Labuhan,ID,2020-12-15 18:06:06,-6.88,112.21,76.41,89,100,5.66
176,Morris,US,2020-12-15 18:06:06,40.83,-74.53,39.0,55,58,5.01
177,Lixouri,GR,2020-12-15 18:06:06,38.2,20.43,53.6,87,0,1.21
178,Alofi,NU,2020-12-15 18:06:06,-19.06,-169.92,77.0,94,90,27.51
179,Vanavara,RU,2020-12-15 18:06:07,60.34,102.28,3.63,94,100,6.69
180,Buraidah,SA,2020-12-15 18:06:07,26.33,43.98,68.0,60,20,9.17
181,Domat,CH,2020-12-15 18:06:07,46.83,9.45,41.0,65,88,5.86
182,Mozarlândia,BR,2020-12-15 18:06:07,-14.74,-50.57,88.18,49,65,4.12
183,Rochegda,RU,2020-12-15 18:06:07,62.8,43.25,16.02,98,100,2.06
184,Yangi Marg`ilon,UZ,2020-12-15 18:06:07,40.43,71.72,33.8,74,90,2.24
185,Ansbach,DE,2020-12-15 18:02:08,49.3,10.58,44.6,100,75,4.7
186,Yarmouth,US,2020-12-15 18:06:08,41.71,-70.23,39.0,32,1,11.41
187,Phan Thiet,VN,2020-12-15 18:06:08,10.93,108.1,74.52,84,64,6.69
188,Pechenizhyn,UA,2020-12-15 18:06:08,48.52,24.89,32.0,90,90,6.71
189,Gushikawa,JP,2020-12-15 18:06:08,26.35,127.87,60.8,82,90,8.05
190,Bagotville,AU,2020-12-15 18:06:08,-28.98,153.42,75.2,94,75,6.93
191,Rossland,CA,2020-12-15 18:06:08,49.08,-117.8,33.01,97,100,1.01
192,San Quintín,MX,2020-12-15 18:06:08,30.48,-115.95,61.95,47,0,2.17
193,Vrangel',RU,2020-12-15 18:06:09,42.73,133.08,5.54,84,0,20.13
194,Fukuechō,JP,2020-12-15 18:01:27,32.69,128.84,43.45,69,100,22.48
195,Daru,PG,2020-12-15 18:06:09,-9.08,143.21,79.66,85,80,7.7
196,Rawlins,US,2020-12-15 18:06:09,41.79,-107.24,19.4,73,90,14.99
197,Torbay,CA,2020-12-15 18:06:09,47.67,-52.73,37.0,100,90,19.46
198,Verkhnevilyuysk,RU,2020-12-15 18:06:09,63.45,120.32,-23.58,86,56,4.07
199,Xichang,CN,2020-12-15 18:06:09,27.9,102.26,51.01,43,8,2.26
200,Klaksvík,FO,2020-12-15 18:06:11,62.23,-6.59,44.6,100,30,11.41
201,Gwadar,PK,2020-12-15 18:06:11,25.12,62.33,65.39,28,0,18.25
202,Vao,NC,2020-12-15 18:06:11,-22.67,167.48,75.78,77,37,22.95
203,Rønne,DK,2020-12-15 18:06:11,55.1,14.71,42.8,87,100,16.11
204,Scottsbluff,US,2020-12-15 18:06:11,41.87,-103.67,28.4,68,75,16.11
205,Raditsa-Krylovka,RU,2020-12-15 18:06:11,53.32,34.36,21.2,98,11,4.34
206,Tabuleiro do Norte,BR,2020-12-15 18:06:11,-5.25,-38.13,98.15,28,95,3.58
207,Uvalde,US,2020-12-15 18:06:12,29.37,-99.77,53.01,71,1,7.56
208,San Miguel de Cozumel,MX,2020-12-15 18:06:12,20.51,-86.95,82.4,69,75,6.93
209,Shitanjing,CN,2020-12-15 18:06:12,39.23,106.34,11.98,69,0,2.91
210,Nyurba,RU,2020-12-15 18:06:12,63.28,118.33,-21.82,87,40,4.23
211,Mahuva,IN,2020-12-15 18:06:12,21.09,71.76,71.04,50,0,13.53
212,Cidreira,BR,2020-12-15 18:06:12,-30.18,-50.21,75.85,77,4,10.49
213,Mimongo,GA,2020-12-15 18:06:13,-1.62,11.61,72.97,91,63,0.72
214,Mahajanga,MG,2020-12-15 18:04:50,-15.72,46.32,80.6,78,20,4.7
215,Polunochnoye,RU,2020-12-15 18:06:13,60.87,60.42,12.33,93,95,3.02
216,Kruisfontein,ZA,2020-12-15 18:06:13,-34.0,24.73,69.01,74,17,5.99
217,Haines Junction,CA,2020-12-15 18:06:13,60.75,-137.51,5.0,84,100,1.03
218,Husavik,IS,2020-12-15 18:06:13,66.04,-17.34,39.2,91,90,18.34
219,São José da Coroa Grande,BR,2020-12-15 18:06:13,-8.9,-35.15,82.38,68,82,12.01
220,Tautira,PF,2020-12-15 18:06:14,-17.73,-149.15,84.2,62,20,3.36
221,Carballo,ES,2020-12-15 18:06:14,43.21,-8.69,52.0,81,40,16.11
222,Nelson Bay,AU,2020-12-15 18:06:14,-32.72,152.15,72.0,100,90,6.93
223,Bethel,US,2020-12-15 18:03:01,41.37,-73.41,36.0,47,1,11.41
224,Charagua,BO,2020-12-15 18:06:14,-19.8,-63.22,87.8,43,69,4.7
225,Saint-Prosper,CA,2020-12-15 18:06:14,46.21,-70.48,8.6,50,100,6.93
226,Tabriz,IR,2020-12-15 18:06:14,38.08,46.29,44.6,61,40,2.24
227,Le Port,RE,2020-12-15 18:06:15,-20.94,55.29,77.0,88,75,20.8
228,Bouca,CF,2020-12-15 18:06:15,6.51,18.27,83.88,23,86,3.91
229,Merauke,ID,2020-12-15 18:06:15,-8.47,140.33,78.55,88,100,8.99
230,Kristiansund,NO,2020-12-15 18:06:15,63.11,7.73,42.8,61,75,12.75
231,Tsimmerbude,RU,2020-12-15 18:06:15,54.67,20.13,33.8,75,90,13.42
232,Orlik,RU,2020-12-15 18:06:15,52.52,99.83,0.23,83,85,6.49
233,Yārāda,IN,2020-12-15 18:06:15,17.65,83.27,77.0,83,13,3.36
234,Siyabuswa,ZA,2020-12-15 18:06:16,-25.11,29.04,70.12,73,100,4.12
235,Nampula,MZ,2020-12-15 18:06:16,-15.12,39.27,75.6,88,97,5.93
236,Kailua,US,2020-12-15 18:05:49,21.4,-157.74,73.4,78,40,14.03
237,Mossamedes,AO,2020-12-15 18:06:16,-15.2,12.15,67.96,81,27,5.99
238,Wenling,CN,2020-12-15 18:06:16,28.37,121.36,41.0,83,100,14.23
239,Redmond,US,2020-12-15 18:05:16,47.67,-122.12,44.01,95,100,7.18
240,Malkerns,SZ,2020-12-15 18:06:16,-26.57,31.18,65.39,89,97,2.73
241,Zhigansk,RU,2020-12-15 18:06:16,66.77,123.37,-39.03,81,99,8.52
242,Tiksi,RU,2020-12-15 18:06:17,71.69,128.87,-24.14,85,0,2.71
243,Provideniya,RU,2020-12-15 18:06:17,64.38,-173.3,13.98,92,99,13.42
244,Lüderitz,NA,2020-12-15 18:06:17,-26.65,15.16,69.62,53,0,28.83
245,Iqaluit,CA,2020-12-15 18:06:17,63.75,-68.51,19.4,67,90,17.22
246,Santiago,CL,2020-12-15 18:06:17,-33.46,-70.65,87.01,28,0,6.93
247,Amahai,ID,2020-12-15 18:06:17,-3.33,128.92,86.0,80,99,3.0
248,Nouadhibou,MR,2020-12-15 18:06:17,20.93,-17.03,73.4,60,0,12.75
249,Manturovo,RU,2020-12-15 18:06:18,58.34,44.76,18.01,97,99,3.74
250,Paphos,CY,2020-12-15 18:06:19,34.77,32.42,60.8,72,75,4.7
251,Linköping,SE,2020-12-15 18:06:19,58.41,15.62,44.6,93,75,5.82
252,Alyangula,AU,2020-12-15 18:06:19,-13.85,136.42,78.8,100,100,3.36
253,Anori,BR,2020-12-15 18:06:19,-3.77,-61.64,72.91,98,100,4.03
254,Kahului,US,2020-12-15 18:06:19,20.89,-156.47,72.0,73,40,3.36
255,Kalabo,ZM,2020-12-15 18:06:19,-14.97,22.68,70.07,86,85,6.49
256,Paungde,MM,2020-12-15 18:06:20,18.48,95.5,69.58,79,1,5.93
257,Belmonte,BR,2020-12-15 18:06:20,-15.86,-38.88,82.4,61,40,11.41
258,Muyezerskiy,RU,2020-12-15 18:06:20,63.93,31.65,20.19,97,96,7.87
259,Meadow Lake,US,2020-12-15 18:06:20,34.8,-106.54,39.99,54,75,14.99
260,Stornoway,GB,2020-12-15 18:06:20,58.21,-6.39,46.99,81,40,14.99
261,Coyhaique,CL,2020-12-15 18:06:20,-45.58,-72.07,51.8,53,90,8.05
262,Ojinaga,MX,2020-12-15 18:06:20,29.57,-104.42,57.2,22,1,13.87
263,The Pas,CA,2020-12-15 18:06:20,53.83,-101.25,-9.4,76,20,9.17
264,Whitehorse,CA,2020-12-15 18:06:21,60.72,-135.05,6.8,84,90,2.24
265,Makkah al Mukarramah,SA,2020-12-15 18:06:21,21.43,39.83,76.42,71,11,5.66
266,Luba,GQ,2020-12-15 18:06:21,3.46,8.55,82.4,94,20,6.93
267,Carnaíba,BR,2020-12-15 18:06:21,-8.7,-37.67,95.58,21,100,9.24
268,Qandala,SO,2020-12-15 18:06:21,11.47,49.87,75.31,72,23,11.65
269,Dzaoudzi,YT,2020-12-15 18:06:21,-12.79,45.27,80.6,78,0,2.24
270,Mount Gambier,AU,2020-12-15 18:06:21,-37.83,140.77,57.2,76,90,12.75
271,Lavrentiya,RU,2020-12-15 18:06:21,65.58,-171.0,15.28,95,100,18.75
272,Hobyo,SO,2020-12-15 18:06:21,5.35,48.53,77.92,74,19,19.91
273,Port-Gentil,GA,2020-12-15 18:06:22,-0.72,8.78,82.4,78,75,13.87
274,Oussouye,SN,2020-12-15 18:06:22,12.48,-16.55,89.6,58,0,6.93
275,Sotik Post,KE,2020-12-15 18:06:22,-0.78,35.34,58.23,91,81,1.74
276,Karasuk,RU,2020-12-15 18:06:22,53.74,78.04,1.22,94,88,6.73
277,Tuy Hoa,VN,2020-12-15 18:06:22,13.08,109.3,75.18,90,88,14.67
278,Diamantino,BR,2020-12-15 18:06:22,-14.41,-56.45,90.07,53,100,2.3
279,Mackenzie,CA,2020-12-15 18:06:22,55.3,-123.17,24.8,100,90,3.36
280,Ambilobe,MG,2020-12-15 18:06:23,-13.2,49.05,76.93,82,45,2.33
281,Mamboma,SL,2020-12-15 18:06:23,8.08,-11.68,78.76,85,64,3.69
282,Pangai,TO,2020-12-15 18:06:23,-19.8,-174.35,77.0,83,90,18.34
283,Narsaq,GL,2020-12-15 18:06:23,60.92,-46.05,37.4,32,20,16.11
284,Emerald,AU,2020-12-15 18:06:23,-23.53,148.17,78.8,78,90,9.17
285,Xingtai,CN,2020-12-15 18:06:23,37.06,114.49,23.61,70,0,2.46
286,Manta,EC,2020-12-15 18:06:23,-0.95,-80.73,77.0,78,75,8.05
287,Byron Bay,AU,2020-12-15 18:06:23,-28.65,153.62,75.2,94,75,6.93
288,Lesnyye Polyany,RU,2020-12-15 18:06:23,55.97,37.87,24.8,85,90,2.24
289,Roald,NO,2020-12-15 18:06:24,62.58,6.13,44.6,87,75,5.82
290,Marrakesh,MA,2020-12-15 18:01:42,31.63,-8.01,68.0,52,0,2.24
291,Chhatarpur,IN,2020-12-15 18:06:24,24.9,79.6,61.75,65,64,2.26
292,Codrington,AU,2020-12-15 18:06:24,-38.27,141.97,54.66,94,100,16.2
293,Khorol,UA,2020-12-15 18:06:24,49.78,33.28,31.35,99,70,9.82
294,Yuzhno-Kurilsk,RU,2020-12-15 18:06:24,44.03,145.86,26.53,88,100,25.72
295,Ponta Delgada,PT,2020-12-15 18:06:24,37.73,-25.67,60.8,82,40,23.04
296,Bairiki Village,KI,2020-12-15 18:06:24,1.33,172.98,80.6,74,20,9.17
297,San Andrés,CO,2020-12-15 18:02:21,12.58,-81.7,81.57,76,31,15.46
298,Cockburn Town,TC,2020-12-15 18:06:25,21.46,-71.14,77.54,74,41,12.75
299,Manama,BH,2020-12-15 18:06:25,26.22,50.58,69.8,68,0,2.24
300,Miquelon,PM,2020-12-15 18:06:26,47.1,-56.38,35.6,100,75,27.51
301,Lebu,CL,2020-12-15 18:06:26,-37.62,-73.65,56.28,62,0,22.93
302,Banda Aceh,ID,2020-12-15 18:06:26,5.56,95.32,78.22,80,94,3.38
303,Ustynivka,UA,2020-12-15 18:06:26,47.96,32.54,32.0,98,90,13.42
